# id	left	top	right	bottom	texture_id
[SPRITES]
# ================ SMALL MARIO ================
# idle small left
10000	1	17	16	32	0
# walk	
10001	19	16	34	33	0
10002	55	16	70	33	0
#jump	
10003	37	15	52	32	0
#run	
10004	73	17	88	32	0
#long jump	
10005	91	17	106	32	0
#brake	
10006	109	17	124	32	0
#kick	
10007	181	17	196	32	0
#hold shell idle	
10008	145	17	160	32	0
#hold shell run	
10009	163	17	178	32	0
#in Pipe	
10010	127	17	142	32	0

# ================ BIG MARIO ================	 
# idle	#VALUE!				
10020	0	93	17	120	0
#walk	-1				
10021	18	93	35	120	0
10022	36	93	53	120	0
#jump	-1				
10023	72	93	89	120	0
#run 	-1				
10024	90	93	110	120	0
10025	116	93	136	120	0
10026	142	93	162	120	0
#long jump	-1				
10027	168	93	188	120	0
#brake	-1				
10028	194	93	211	120	0
#kick	-1				
10029	302	93	327	120	0
#hold shell idle	-1				
10030	248	93	265	120	0
#hold shell run	-1				
10031	266	93	283	120	0
10032	284	93	301	120	0
#dodge	-1				
10033	54	102	69	120	0
#Turn to bigform || turn to small form	-1				
10034	208	127	223	154	0
10035	2	5	15	32	0
#shell fall into head	-1				
10036	424	122	449	146	0
#look 	-1				
10037	450	128	467	154	0
#in Pipe	-1				
10038	212	93	229	120	0



# ================ FIRE MARIO ================
#idle
10040	1	265	17	292	0
#walk
10041	19	265	35	292	0
10042	37	265	53	292	0
#jump
10043	73	265	89	292	0
#run
10044	91	265	110	292	0
10045	117	265	136	292	0
10046	143	265	162	292	0
#long jump
10047	169	265	188	292	0
#brake
10048	195	264	211	292	0
#kick
10049	306	265	327	292	0
#hold shell
10050	249	265	265	292	0
#hold shell run
10051	267	265	283	292	0
10052	285	265	301	292	0
#dodge 
10053	55	265	69	292	0
#shoot
10054	209	299	223	326	0
10055	227	299	241	326	0
#in Pipe
10056	213	265	229	292	0

# ================ RACCOON ================
#idle
10060	1	350	25	378	0
#walk
10061	27	350	51	378	0
10062	53	350	77	378	0
#jump
10063	105	350	129	378	0
#run
10064	183	350	207	378	0
10065	209	350	233	378	0
10066	235	350	259	378	0
#long jump
10067	261	350	285	378	0
#brake
10068	339	350	355	378	0
#kick
10069	79	384	103	412	0
#hold shell 
10070	1	384	25	412	0
#hold shell run 
10071	27	384	51	412	0
10072	53	384	77	412	0
#dodge
10073	79	360	101	378	0
#tail attack
10074	375	350	399	378	0
#(sprite teleport)
10075	357	350	373	378	0
10076	455	383	478	411	0
10077	401	350	417	378	0
#float 
10077	131	350	155	378	0
10078	157	350	181	378	0
#fly	
10079	261	350	285	378	0
10080	287	350	311	378	0
10081	313	350	337	378	0
#tail attack jump
10082	454	351	477	378	0
#tail attack back
10083	401	350	417	378	0
# die 
10099	307	15	324	32	0

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]

#idle small 
400	10000	0
#idle BIG 
401	10020	0
#idle raccoon
402	10060	0
#idle fire
403	10040	0

#walk small
404	10000	100	10001	100
#walk  big
405	10020	100	10021	100	10022	100
#walk fire 
406	10040	100	10041	100	10042	100
#walk raccoon
407	10060	100	10061	100	10062	100

#jump small
408	10003	0
#jump big
409	10023	0
#jump fire
410	10043	0
#jump raccoon
411	10063	0
#jumped big
460	10022	0

#run small
412	10000	35	10001	35	10002	35
#run big
413	10020	50	10021	50	10022	50
#run fire
414	10040	50	10041	50	10042	50
#run raccoon
415	10060	50	10061	50	10062	50
#run full small
416	 10002	25	10004	25
#run full big
417	10024	30	10025	30	10026	30
#run full fire
418	10044	30	10045	30	10046	30
#run full raccoon
419	10064	30	10065	30	10066	30

#long jump small
420	10005	0
#long jump big
421	10027	0
#long jump fire
422	10047	0
#long jump raccoon
423	10067	0

#brake small 
424	10006	0
#brake big
425	10028	0
#brake fire
426	10048	0
#brake raccoon
427	10068	0

#kick shell small
428	10007	0
#kick shell big
429	10029	0
#kick shell fire
430	10049	0
#kick shell raccoon
431	10069	0

#hold shell small
432	10008	0
#hold shell big 
433	10030	0
#hold shell fire
434	10050	0
#hold shell raccoon
435	10070	0
#hold shell run small
436	10008	100	10009	100
#hold shell run big 
437	10030	100	10031	100
#hold shell run fire
438	10050	100	10051	100
#hold shell run raccoon
439	10070	100	10071	100

#dodge big
440	10033	0
#dodge fire
441	10053	0
#dodge raccoon
442	10073	0

#fire shoot
443	10054	100	10055	100
#raccoon tail attack
444	10060	30	10074	30	10075	60	10076	60	10083	60	10074	60
#raccoon float
445	10077	50	10078	50
#racoon fly
446	10079	50	10080	50	10081	50

#Turn to big form 
447	10034	75	10035	75	10034	75	10035	75	10034	75	10035	75	10034	75	10020	75	10034	75	10020	75	10034	75	10020	1000
#turn to small form
448	10035	50	10020	50	10035	50	10020	50	10034	50	10035	50	10034	50	10035	50	10034	50	10035	50	10034	50	10035	1000
#turn to raccoon form or lose raccoon form 602
# Go to teleport
449	10075	0
#  == Hitted====
450	10036	0
#  ==LookUp====
451	10037	0
#Hold Shell Jumping Small
452	10009	0
#hold shell Jumping big
453	10032	0
#hold shell jumping fire
454	10052	0
#hold shell jumping raccoon
455	10072	0
# INPIPE small
456	10010	0
#in Pipe BIG
457	10038	0
#in Pipe Fire
458	10056	0
#Jump tail attack
459	10075	100	10082	100	10077	100	10062	100

#die
499	10099	100
